SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,36,36.3,35,35.15,35.4,36,12632,449218.7,29-JAN-2020,146,INE144J01027,
20MICRONS,EQ,35.6,36,34.1,34.7,35,35.15,22212,780015,30-JAN-2020,371,INE144J01027,
20MICRONS,EQ,35,35.85,34.7,34.9,35,34.7,23186,814884.75,31-JAN-2020,507,INE144J01027,
21STCENMGM,EQ,14.65,14.8,14.4,14.8,14.8,14.65,2173,31603.65,29-JAN-2020,17,INE253B01015,
21STCENMGM,EQ,14.55,14.55,14.55,14.55,14.55,14.8,11,160.05,30-JAN-2020,2,INE253B01015,
21STCENMGM,EQ,14.3,14.3,14.3,14.3,14.3,14.55,1000,14300,31-JAN-2020,2,INE253B01015,
3IINFOTECH,EQ,2.3,2.4,2.25,2.25,2.25,2.3,1527951,3537146.5,29-JAN-2020,718,INE748C01020,
3IINFOTECH,EQ,2.25,2.35,2.25,2.25,2.3,2.25,826435,1887283.45,30-JAN-2020,683,INE748C01020,
3IINFOTECH,EQ,2.3,2.35,2.25,2.25,2.25,2.25,801110,1830509.95,31-JAN-2020,539,INE748C01020,
3MINDIA,EQ,22587.95,22587.95,22055.15,22185.85,22250,22264.65,979,21757662.45,29-JAN-2020,692,INE470A01017,
3MINDIA,EQ,22350,22498.85,22100,22132.3,22105,22185.85,736,16405934.1,30-JAN-2020,453,INE470A01017,
3MINDIA,EQ,22290.2,24139.9,21888,22981.25,22900,22132.3,27244,631205343.8,31-JAN-2020,9341,INE470A01017,
3PLAND,EQ,6.5,7.1,6.5,7.05,7.05,6.8,812,5623.85,29-JAN-2020,18,INE105C01023,
3PLAND,EQ,7.3,7.3,7.3,7.3,7.3,7.05,13,94.9,30-JAN-2020,2,INE105C01023,
3PLAND,EQ,7.65,7.65,6.95,6.95,6.95,7.3,5029,38453.65,31-JAN-2020,7,INE105C01023,
5PAISA,EQ,197,197,176,191.4,192.2,192.2,6100,1161451.5,29-JAN-2020,197,INE618L01018,
5PAISA,EQ,193.55,193.55,185.25,190.9,192.25,191.4,5795,1102262.75,30-JAN-2020,251,INE618L01018,
5PAISA,EQ,190.95,193.8,185.45,187.3,188.2,190.9,11725,2214157.35,31-JAN-2020,275,INE618L01018,
63MOONS,EQ,107.9,110,106.3,107.45,107.55,107.15,96331,10423793.95,29-JAN-2020,2132,INE111B01023,
63MOONS,EQ,108,108,103.85,105.15,104.8,107.45,90263,9546168.45,30-JAN-2020,2060,INE111B01023,
63MOONS,EQ,105.6,106.7,102,103.05,103.1,105.15,89439,9319977.2,31-JAN-2020,2202,INE111B01023,
762GS2039,GS,92,92,92,92,92,92,1000,92000,29-JAN-2020,1,IN0020190024,
732GS2024,GS,95.55,95.55,95.55,95.55,95.55,91,100,9555,30-JAN-2020,1,IN0020180488,
769GS2043,GS,101,101,101,101,101,101,1,101,31-JAN-2020,1,IN0020190040,
A2ZINFRA,EQ,7.1,7.2,7.1,7.1,7.15,7.05,76355,546666.8,29-JAN-2020,171,INE619I01012,
A2ZINFRA,EQ,7.15,7.15,6.9,6.95,6.95,7.1,150373,1046905.95,30-JAN-2020,298,INE619I01012,
824GS2027,GS,99,99,99,99,99,104,100,9900,31-JAN-2020,1,IN0020060078,
AAKASH,SM,67.25,67.5,67,67.45,67.5,64.6,28000,1882500,29-JAN-2020,5,INE087Z01016,
AAKASH,SM,64.5,64.5,64.5,64.5,64.5,67.45,4000,258000,30-JAN-2020,2,INE087Z01016,
